"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36","should fire show tracking on portfolio product impression","Analytics: Company Search (GA3)","2026-07-22","passed","2026-07-22","","company card tracking","",""
"","1142","should fire click_login_appleButton on Apple button click","Analytics: Supplier Login (GA3)","2026-07-22","passed","2026-07-22","","Social Login buttons","",""
"","297","should fire click tracking on portfolio product name click","Analytics: Company Search (GA3)","2026-07-22","passed","2026-07-22","","company card tracking","",""
"","1994","should fire click_login_googleButton on Google button click","Analytics: Supplier Login (GA3)","2026-07-22","passed","2026-07-22","","Social Login buttons","",""
"","5356","should validate GA3 pageView on supplier registration landing page","Analytics: Supplier Onboarding (GA3)","2026-07-22","passed","2026-07-22","","Supplier registration landing UV (supplier_registration_landingpage)","",""
"","164","should fire click tracking on product description click","Analytics: Product Search (GA3)","2026-07-22","passed","2026-07-22","","product card tracking","",""
"","19715","stycky panel should:: fire show_contactForm → click_contact_page_message_send → messageTransaction_sent → show_directRequest_successPopup through the CPP sticky panel federated widget","Analytics: PDP – Direct Request Widget / QDR modal (GA3)","2026-07-22","passed","2026-07-22","","","",""
"","203","should fire show_productSerp_sponsoredBrand on sponsored brand impression","Analytics: Product Search (GA3)","2026-07-22","passed","2026-07-22","","sponsored brand tracking","",""
"","3372","should validate GA3 pageView","Analytics: Showroom (GA3)","2026-07-22","passed","2026-07-22","","","",""
"","249","should fire click tracking on contact button click","Analytics: Product Search (GA3)","2026-07-22","passed","2026-07-22","","product card tracking","",""
"","95","should fire companyName tracking on company header area click (bubbling)","Analytics: Product Search (GA3)","2026-07-22","passed","2026-07-22","","product card tracking","",""
"","314","should fire hitArea tracking when pricing hint text is clicked (bubbling)","Analytics: Product Search (GA3)","2026-07-22","passed","2026-07-22","","product card tracking","",""
"","38","should fire show tracking on contact button impression","Analytics: Company Search (GA3)","2026-07-22","passed","2026-07-22","","company card tracking","",""
"","3303","should validate GA3 pageView","Analytics: PDP (GA3)","2026-07-22","passed","2026-07-22","","","",""
"","156","should fire productImage tracking when SponsoredLabel is clicked (bubbling)","Analytics: Product Search (GA3)","2026-07-22","passed","2026-07-22","","product card tracking","",""
"","200","should fire click tracking on more products card click","Analytics: Company Search (GA3)","2026-07-22","passed","2026-07-22","","company card tracking","",""
"","21451","should fire show_contactForm → click_contact_page_message_send → messageTransaction_sent → show_directRequest_successPopup through the CPP sticky panel federated widget","Analytics: CPP – Direct Request Widget / QDR modal (GA3)","2026-07-22","passed","2026-07-22","","","",""
"","134","should fire companyName tracking when VerifiedLabel is clicked (bubbling)","Analytics: Product Search (GA3)","2026-07-22","passed","2026-07-22","","product card tracking","",""
"","228","should fire click tracking on portfolio product click","Analytics: Company Search (GA3)","2026-07-22","passed","2026-07-22","","company card tracking","",""
"","20018","should fire show_contactForm → click_contact_page_message_send → messageTransaction_sent → show_directRequest_successPopup through the showroom product card federated widget","Analytics: Showroom – Direct Request Widget / QDR modal (GA3)","2026-07-22","passed","2026-07-22","","","",""
"","17022","should fire show_contactForm → click_contact_page_message_send → messageTransaction_sent → show_directRequest_successPopup through the federated widget","Analytics: Direct Request Widget / QDR modal (GA3)","2026-07-22","passed","2026-07-22","","","",""
"","282","should fire click_serp_sponsoredBrand_showContactForm on contact button click","Analytics: Company Search (GA3)","2026-07-22","passed","2026-07-22","","sponsored brand tracking","",""
"","3868","should validate GA3 pageView","Analytics: CPP (GA3)","2026-07-22","passed","2026-07-22","","","",""
"","163","should fire click tracking on product image click","Analytics: Product Search (GA3)","2026-07-22","passed","2026-07-22","","product card tracking","",""
"","19216","should fire show_contactForm → click_contact_page_message_send → messageTransaction_sent → show_directRequest_successPopup through the federated widget","Analytics: Company Search – Direct Request Widget / QDR modal (GA3)","2026-07-22","passed","2026-07-22","","","",""
"","1597","should fire show_productSerp_productCard on card impression","Analytics: Product Search (GA3)","2026-07-22","passed","2026-07-22","","product card tracking","",""
"","157","should fire company_card_click on company logo click","Analytics: Company Search (GA3)","2026-07-22","passed","2026-07-22","","company card tracking","",""
"","72","should fire click_productSerp_sponsoredBrand_showContactForm on contact button click","Analytics: Product Search (GA3)","2026-07-22","passed","2026-07-22","","sponsored brand tracking","",""
"","136","should fire company_card_click when description is clicked (bubbling to card)","Analytics: Company Search (GA3)","2026-07-22","passed","2026-07-22","","company card tracking","",""
"","124","should fire click tracking on product price click","Analytics: Product Search (GA3)","2026-07-22","passed","2026-07-22","","product card tracking","",""
"","2232","should validate GA3 pageView on signIn","Analytics: Supplier Login (GA3)","2026-07-22","passed","2026-07-22","","Sign-in UV (signIn)","",""
"","200","should fire company_card_click on company name click","Analytics: Company Search (GA3)","2026-07-22","passed","2026-07-22","","company card tracking","",""
"","12726","should mint the funnel transaction_id at the submit click and pass it through purchase → success redirect → show_success_page_view","Analytics: Direct Request / QDR (GA3)","2026-07-22","passed","2026-07-22","","message_send_flow","",""
"","4696","should validate GA3 pageView","Analytics: Product Search (GA3)","2026-07-22","passed","2026-07-22","","page_view","",""
"","5656","should validate GA3 pageView on registration","Analytics: Supplier Login (GA3)","2026-07-22","passed","2026-07-22","","Registration page UV (registration)","",""
"","186","should fire click tracking on product card hit area click","Analytics: Product Search (GA3)","2026-07-22","passed","2026-07-22","","product card tracking","",""
"","171","should fire company_card_click on card hit area click","Analytics: Company Search (GA3)","2026-07-22","passed","2026-07-22","","company card tracking","",""
"","358","should fire click tracking on product name click","Analytics: Product Search (GA3)","2026-07-22","passed","2026-07-22","","product card tracking","",""
"","14306","should track pageView → submit click → success pageView → successMessage with consistent transaction_id and rfq_id","Analytics: RFQ (GA3)","2026-07-22","passed","2026-07-22","","rfq_create_submit_flow (gradual form → /rfq/create)","",""
"","5486","should validate GA3 pageView","Analytics: Company Search (GA3)","2026-07-22","passed","2026-07-22","","page_view","",""
"","1795","should fire click_serp_maplayover_showContactForm on map overlay contact button click","Analytics: Company Search (GA3)","2026-07-22","passed","2026-07-22","","company card tracking","",""
"","108","should fire click tracking on company name click","Analytics: Product Search (GA3)","2026-07-22","passed","2026-07-22","","product card tracking","",""
"","2093","should fire company_card_show on card impression","Analytics: Company Search (GA3)","2026-07-22","passed","2026-07-22","","company card tracking","",""
"","1083","should fire click_login_alibabaButton on Alibaba button click","Analytics: Supplier Login (GA3)","2026-07-22","passed","2026-07-22","","Social Login buttons","",""
"","61","should fire show tracking on portfolio button impression","Analytics: Company Search (GA3)","2026-07-22","passed","2026-07-22","","company card tracking","",""
"","148","should fire click tracking on portfolio button click","Analytics: Company Search (GA3)","2026-07-22","passed","2026-07-22","","company card tracking","",""
"","135","should fire companyName tracking when ResponseLabel is clicked (bubbling)","Analytics: Product Search (GA3)","2026-07-22","passed","2026-07-22","","product card tracking","",""
"","212","should fire click tracking on contact button click","Analytics: Company Search (GA3)","2026-07-22","passed","2026-07-22","","company card tracking","",""
"","279","should fire hitArea tracking when PriceAction empty area is clicked (bubbling)","Analytics: Product Search (GA3)","2026-07-22","passed","2026-07-22","","product card tracking","",""
"","124","should fire click tracking on minimum order quantity click","Analytics: Product Search (GA3)","2026-07-22","passed","2026-07-22","","product card tracking","",""
