"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32450","should navigate away from CPV when clicking first product card","regression","2026-07-17","failed","2026-07-17","ep-cpv-regression","cpv","",""
"","1095","should have product name links pointing to /en/company paths","regression","2026-07-17","passed","2026-07-17","ep-homepage-regression","homepage","",""
"","2024","should load showroom on Spain (https://www.europages-staging.es)","regression","2026-07-17","passed","2026-07-17","domain-smoke","showroom","",""
"","2220","should expand and collapse the first FAQ item","critical regression","2026-07-17","passed","2026-07-17","direct-request-e2e","requests","",""
"","6839","should load AI company search page in German","smoke","2026-07-17","passed","2026-07-17","","ai-company-search-smoke","",""
"","9300","should display ""List my company"" button in header","regression","2026-07-17","failed","2026-07-17","ep-homepage-regression","homepage","",""
"","1616","should display optional product card elements when available","regression","2026-07-17","passed","2026-07-17","ai-product-search-regression","product-search","",""
"","9379","should display search bar in hero section","regression","2026-07-17","failed","2026-07-17","ep-homepage-regression","homepage","",""
"","2458","should display pagination","regression","2026-07-17","passed","2026-07-17","ai-product-search-regression","product-search","",""
"","9469","should display Notifications section","regression","2026-07-17","passed","2026-07-17","ep-my-account-regression","my-account","",""
"","9446","should display company name","regression","2026-07-17","failed","2026-07-17","wlw-cpp-regression","cpp","",""
"","9865","should display header, hero, and footer","smoke","2026-07-17","failed","2026-07-17","","requests-smoke","",""
"","1076","should display filters or sorting controls","regression","2026-07-17","passed","2026-07-17","ep-showroom-regression","showroom","",""
"","695","should load the success page for europages in ITALIAN (it)","regression","2026-07-17","passed","2026-07-17","direct-request-success-regression","requests","",""
"","1480","should scroll product recommendation carousel forward with next arrow","regression","2026-07-17","passed","2026-07-17","ep-homepage-regression","homepage","",""
"","9709","should keep results after verified filter and new header search","regression","2026-07-17","passed","2026-07-17","ai-company-search-regression","company-search","",""
"","2363","should navigate to product detail when clicking first portfolio product","regression","2026-07-17","passed","2026-07-17","ep-cpp-regression","cpp","",""
"","4586","should check incoterm and payment method options, then save and verify","critical regression","2026-07-17","passed","2026-07-17","wlw-company-profile-editor-e2e","company-profile","",""
"","1287","should display product search results container","regression","2026-07-17","passed","2026-07-17","ep-showroom-regression","showroom","",""
"","9900","should load homepage on United Kingdom (https://www.europages-staging.co.uk)","regression","2026-07-17","failed","2026-07-17","domain-smoke","homepage","",""
"","32121","should navigate to product detail when clicking first product card","regression","2026-07-17","failed","2026-07-17","wlw-showroom-regression","showroom","",""
"","1967","should load showroom on Italy (https://www.europages-staging.it)","regression","2026-07-17","passed","2026-07-17","domain-smoke","showroom","",""
"","2590","should load CSERP with breadcrumbs and company results","smoke","2026-07-17","passed","2026-07-17","","cserp","",""
"","10706","should allow uploading a valid file and then remove it","critical regression","2026-07-17","failed","2026-07-17","direct-request-e2e","requests","",""
"","9227","should navigate away from homepage after searching","regression","2026-07-17","failed","2026-07-17","ep-homepage-regression","homepage","",""
"","6671","should keep AI reasoning panel after a header search","regression","2026-07-17","passed","2026-07-17","ai-product-search-regression","product-search","",""
"","1855","should display filter or sorting controls","regression","2026-07-17","passed","2026-07-17","wlw-cserp-regression","cserp","",""
"","1486","should display product cards with core structure","regression","2026-07-17","passed","2026-07-17","wlw-showroom-regression","showroom","",""
"","2373","should pass CR-08 on europages.co.uk showroom","regression","2026-07-17","passed","2026-07-17","cr-08-showroom-functional","showroom","",""
